"TITLE"	"CATEGORY"
"Snapchat Isn't Standing Up For Your Privacy: Report"	"t"
"Stacy Keibler - Stacy Keibler marries Jared Pobre"	"e"
"ECHOES OF 1983 SOVIET ATTACK ON JET"	"b"
"Why Apple May Need Beats' Music Streaming More Than Trendy Headphones"	"t"
"Tv - Chelsea Handler To End Talk Show After Seven Years"	"e"
"IMF Chief Lagarde Under Investigation In French Fraud Case"	"b"
"Andrew Garfield wants Black-HispanicSpiderman"	"e"
"Healthcare.Gov Users Told To Change Passwords After Heartbleed Review"	"t"
"Congress Is Debating The Future Of The Internet. Here Are 4 Things To Watch For"	"t"
"More Of Lindsay Lohan's Ex-List Revealed As OWN's ""Lindsay"" Sheds More  ..."	"e"
"Beyonce And Jay Z Are On The ""Run"" In New Star-Packed ""Trailer"""	"e"
"'Mad Men' Season 7 Premiere Review: Flying Solo"	"e"
"The Screwball Indie Murder Mystery You Always Wanted"	"e"
"Federal Student Loan Interest Rates To Increase"	"b"
"Lindsay Lohan - Lindsay Lohan won't speak to half-siblings"	"e"
"Jane Fonda And Lily Tomlin Get Ditched By Their Husbands In New Netflix Series"	"e"
"Angelina Jolie, Daniel Day Lewis & Dame Maggie Smith Receive Queen's  ..."	"e"
"Family, Friends And Fans Mourn The Death Of Beloved Radio Presenter And  ..."	"e"
"NBC's Burke Sees End to Drought With Prime-Time Ratings Victory"	"e"
"Scientists may have recorded the moment MH370 crashed into the ocean"	"b"
"Naomi Campbell wows in showstopping grey gown complete with racy cut-out  ..."	"e"
"Corey Hawkins - Movie Bosses Announce Nwa Biopic Cast"	"e"
"Tv - Nick Lachey's Wife Pregnant With Baby Girl"	"e"
"Greece Said to Plan 2 Billion-Euro Bond Sale in First Half (1)"	"b"
"Week in Film: 22 Jump Street, The Signal and More"	"e"
"Some Good News for the E-Cig Industry: Vaping Can Help Smokers Quit"	"m"
"Ebola Spreads From Rural Guinea To Capital"	"m"
"Katherine Heigl sues drug store chain Duane Reade for $6m"	"e"
"Fewer People Got Sick From Salmonella In 2013, Food Poisoning Report Shows"	"m"
"Ukraine Sees Gazprom Charging 37% More for Gas in Second Quarter"	"b"
"NPH Does The ALS Ice Bucket Challenge"	"e"
"HP's Unearned Move to Make Meg Whitman Its Chairman"	"b"
"Novartis Heart Drug Shouldn't Be Approved, FDA Staff Says (3)"	"m"
"Morrissey - Morrissey Treated In Hospital After Collapse"	"e"
"Pin-up photographer and model Bunny Yeager, famous for shots of Bettie Page  ..."	"e"
"Barnes & Noble Teams With Google on Same-Day Shipping"	"b"
"Space Station Computer Outage May Require Spacewalk For Repair (VIDEO)"	"t"
"Apple to release 12.9inch iPad XL tablet next year"	"t"
"'Mrs. Doubtfire' Cast Reluctant For Sequel: A Cash Cow For Robin Williams?"	"e"
"Starbucks Tackles Another Tech Problem With Phone-Charging Mats"	"t"
"Dr. Dre Just Declared Himself 'The First Billionaire In Hip Hop'"	"t"
"Garth Brook Fans In Dublin Will Be Refunded For Cancelled Concerts, But May  ..."	"e"
"Malaysia Airlines 'to change its name and restructure its routes' after two major  ..."	"b"
"Happy Birthday, Bill!"	"e"
"CBS's 'The Big Bang Theory' Renewed For Three More Seasons"	"e"
"Wedding war tears apart Aspen town: New York couple's extravagant plans  ..."	"b"
"NASA's 'Global Selfie' Mosaic Shows We All Belong To One Big, Beautiful World  ..."	"t"
"A Hedge Fund Wants to Teach PetSmart Some New Tricks"	"b"
"Rumors That Beyonce And Jay Z Will Tour Together Give Us Hope For Summer"	"e"
"UN: Spread Of Polio Is A World Health Emergency"	"m"
"Guinea Says All Departing Airport Passengers Being Screened For Ebola"	"m"
"UK Shares Increase After Weekly Gain as AstraZeneca Advances"	"b"
"Popeyes Buys Its Recipes for $43 Million. Wait, Popeyes Didn't Own Its Recipes?"	"b"
"This Consensual Sex Anthem Should Definitely Be On Every Club's Playlist"	"e"
"Miley Cyrus - Miley Cyrus performs in 'undies'"	"e"
"George Clooney - George Clooney Blasts Magnate Steve Wynn After Heated  ..."	"e"
"Divergent book Allegiant will be split into two movies, Lionsgate announces"	"e"
"Austria's Eurovision entry Conchita Wurst splits opinion ahead of semifinal"	"e"
"China Court Impounds Japanese Ship in Unprecedented Seizure (2)"	"b"
"Captain America Becomes April's First Summer Blockbuster"	"e"
"Obama Equal Pay Actions Match Senate Democrat Agenda"	"b"
"Abortion Clinic Limits Tested in Wisconsin, Alabama"	"m"
"EBay Applauds Icahn's Retreat From Push to Separate PayPal Unit"	"b"
"The female bald eagle in the nest previously fought off a raccoon that tried to raid  ..."	"t"
"Calorie Bombs in Your Easter Basket"	"e"
"Another medical use for cannabis as scientists find it helps reduce seizures in  ..."	"m"
"SAC Capital's Criminal Settlement: Was Justice Done?"	"b"
"More than one in ten of ALL the world's overweight people live in the U.S., claims  ..."	"m"
"'Once Upon A Time' adds more Frozen characters to line-up"	"e"
"Carney Touts BOE Low-Rate Pledge as Weale Dissents on Slack (1)"	"b"
"Foreclosures Linked To Higher Suicide Rates: Study"	"m"
"Rick Ross - Rick Ross Arrested For Missing Court Date"	"e"
"'Mad Men' Review: Dancing In The Dark"	"e"
"Kendra Wilkinson's husband Hank Baskett 'leaves their Los Angeles home and  ..."	"e"
"Delta Profit Beats Estimates as Travel Demand Trumps Storms (1)"	"b"
"Google starts removing search results: Tech giant now warns users when links  ..."	"t"
"Sharp Expects Loss at Solar Unit on Drop in Overseas Projects"	"b"
"Tracy Morgan Update: Comedian Showing Signs Of Improvement"	"e"
"GE Profit Tops Estimates as Industrial Margins Expand"	"b"
"Michael Jackson - Michael Jackson's Nephews Stranded In Europe On Death  ..."	"e"
"Harry Styles - Harry Styles angry at Zayn Malik and Louis Tomlinson"	"e"
"Zebra's black and white stripes makes it HARDER for flies to land on their skin"	"t"
